排名,电影名称,导演,演员,上映年份,制作国家,类型,评分,评价人数,短评
181,爆裂鼓手,达米恩·查泽雷 Damien Chazelle,,2014,美国,剧情 音乐,8.7,529572,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
182,小偷家族,是枝裕和 Hirokazu Koreeda,,2018,日本,剧情 犯罪 家庭,8.7,757712,我们组成了家。
183,贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,,2008,英国,剧情 爱情,8.6,695128,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
184,无敌破坏王,瑞奇·莫尔 Rich Moore,,2012,美国,喜剧 动画 奇幻 冒险,8.7,490216,迪士尼和皮克斯拿错剧本的产物。
185,真爱至上,理查德·柯蒂斯 Richard Curtis,,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,674570,爱，是个动词。
186,东邪西毒,王家卫 Kar Wai Wong,,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,534460,电影诗。
187,疯狂的石头,宁浩 Hao Ning,,2006,中国大陆 中国香港,喜剧 犯罪,8.5,746136,中国版《两杆大烟枪》。
188,冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,,2002,美国,喜剧 动画 冒险,8.6,565676,松鼠才是角儿。
189,雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,,1952,美国,喜剧 歌舞 爱情,9.1,198190,骨灰级歌舞片。
190,你看起来好像很好吃,藤森雅也 Masaya Fujimori,,2010,日本,剧情 动画 儿童,8.9,307375,感情不分食草或者食肉。
191,黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,,2010,美国,剧情 惊悚,8.6,737357,黑暗之美。
192,恐怖游轮,克里斯托弗·史密斯 Christopher Smith,,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,768470,不要企图在重复中寻找已经失去的爱。
193,茶馆,谢添 Tian Xie,,1982(中国大陆),中国大陆,剧情 历史,9.5,105300,
194,2001太空漫游,斯坦利·库布里克 Stanley Kubrick,,1968,英国 美国,科幻 惊悚 冒险,8.9,284388,现代科幻电影的开山之作，最伟大导演的最伟大影片。
195,雨人,巴瑞·莱文森 Barry Levinson,,1988,美国,剧情,8.7,374706,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
196,魔女宅急便,宫崎骏 Hayao Miyazaki,,1989,日本,动画 奇幻 冒险,8.7,419119,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
197,恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,,2004,美国,剧情 爱情,8.6,613880,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
198,遗愿清单,罗伯·莱纳 Rob Reiner,,2007,美国,冒险 喜剧 剧情,8.7,400800,用剩余不多的时间，去燃烧整个生命。
199,城市之光,Charles Chaplin,,1931,美国,喜剧 剧情 爱情,9.3,130021,永远的小人物，伟大的卓别林。
200,可可西里,陆川 Chuan Lu,,2004,中国大陆 中国香港,剧情 犯罪,8.9,275964,坚硬的信仰。
201,大佛普拉斯,黄信尧 Hsin-yao Huang,,2017,中国台湾,剧情 喜剧,8.7,402544,人们可以登上月球，却永远无法探索人们内心的宇宙。
202,无间道2,刘伟强 / 麦兆辉,,2003,中国香港,剧情 犯罪 惊悚,8.7,417502,
203,萤火虫之墓,高畑勋 Isao Takahata,,1988,日本,动画 剧情 战争,8.7,381420,幸福是生生不息，却难以触及的远。 
204,牯岭街少年杀人事件,杨德昌 Edward Yang,,1991,中国台湾,剧情 犯罪,8.9,256848,弱者送给弱者的一刀。
205,背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,,1994,中国大陆 中国香港,剧情,9.5,105569,
206,虎口脱险,杰拉尔·乌里 Gérard Oury,,1966,法国 英国,喜剧 战争,8.9,230680,永远看不腻的喜剧。
207,源代码,邓肯·琼斯 Duncan Jones,,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,773095,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
208,人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,,2001,美国 英国,剧情 科幻,8.7,407026,对爱的执着，可以超越一切。
209,初恋这件小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情,8.5,922188,黑小鸭速效美白记。
210,海边的曼彻斯特,肯尼斯·罗纳根 Kenneth Lonergan,,2016,美国,剧情 家庭,8.6,462995,我们都有权利不与自己的过去和解。
211,东京教父,今敏 Satoshi Kon,,2003,日本,剧情 喜剧 动画,9.0,190003,
212,小丑,托德·菲利普斯 Todd Phillips,,2019,美国 加拿大,剧情 犯罪 惊悚,8.7,921845,
213,罗生门,黑泽明 Akira Kurosawa,,1950,日本,剧情 犯罪 悬疑,8.8,286117,人生的N种可能性。
214,终结者2：审判日,詹姆斯·卡梅隆 James Cameron,,1991,美国 法国,动作 科幻,8.8,314280,少见的超越首部的续集，动作片中的经典。
215,青蛇,徐克 Hark Tsui,,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,478729,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
216,奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,,2017,美国 中国香港,剧情 儿童 家庭,8.6,516041,世界不完美，爱会有奇迹。
217,波西米亚狂想曲,布莱恩·辛格 Bryan Singer,,2018,英国 美国,剧情 传记 同性 音乐,8.6,547539,
218,二十二,郭柯 Ke Guo,,2015,中国大陆,纪录片,8.7,274467,有一些东西不应该被遗忘。
219,疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,,2015,澳大利亚 美国,动作 科幻 冒险,8.6,482357,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
220,新龙门客栈,李惠民 Raymond Lee,,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.7,404913,嬉笑怒骂，调风动月。
221,房间,伦尼·阿伯拉罕森 Lenny Abrahamson,,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,347868,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
222,无耻混蛋,Quentin Tarantino,,2009,德国 美国,剧情 犯罪,8.6,434648,昆汀同学越来越变态了，比北野武还杜琪峰。
223,血钻,爱德华·兹威克 Edward Zwick,,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,346275,每个美丽事物背后都是滴血的现实。
224,千钧一发,安德鲁·尼科尔 Andrew Niccol,,1997,美国,剧情 科幻 惊悚,8.8,261506,一部能引人思考的科幻励志片。
225,魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,,1940,美国,剧情 爱情 战争,8.8,254811,中国式内在的美国电影。
226,步履不停,是枝裕和 Hirokazu Koreeda,,2008,日本,剧情 家庭,8.8,253695,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
227,黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,,2003,美国,动作 科幻,8.7,373816,一个精彩的世界观正在缓缓建立。
228,心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,,2020,美国,动画 奇幻 音乐,8.7,868552,
229,彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,,2013,美国 英国,科幻 悬疑 惊悚,8.5,510965,小成本大魅力。
230,崖上的波妞,宫崎骏 Hayao Miyazaki,,2008,日本,动画 奇幻 冒险,8.6,438294,
231,战争之王,安德鲁·尼科尔 Andrew Niccol,,2005,法国 德国 美国,剧情 犯罪,8.7,333683,做一颗让别人需要你的棋子。
232,爱乐之城,达米恩·查泽雷 Damien Chazelle,,2016,美国,剧情 爱情 歌舞,8.4,798376,
233,谍影重重2,保罗·格林格拉斯 Paul Greengrass,,2004,美国 德国,动作 悬疑 惊悚,8.7,324855,谁说王家卫镜头很晃？
234,燃情岁月,爱德华·兹威克 Edward Zwick,,1994,美国,剧情 爱情 战争 西部,8.8,265983,传奇，不是每个人都可以拥有。
235,阿飞正传,王家卫 Kar Wai Wong,,1990,中国香港,犯罪 剧情 爱情,8.5,463819,王家卫是一种风格，张国荣是一个代表。
236,末路狂花,雷德利·斯科特 Ridley Scott,,1991,美国 英国 法国,犯罪 剧情 惊悚,8.9,214576,没有了退路，只好飞向自由。
237,海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,9.1,149736,大海啊，不全是水。
238,谍影重重,道格·里曼 Doug Liman,,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,390604,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
239,再次出发之纽约遇见你,约翰·卡尼 John Carney,,2013,美国,喜剧 爱情 音乐,8.6,395393,爱我就给我看你的播放列表。
240,火星救援,雷德利·斯科特 Ridley Scott,,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,8.5,653523,
241,穿越时空的少女,细田守 Mamoru Hosoda,,2006,日本,剧情 爱情 科幻 动画,8.6,355215,爱上未来的你。 
242,朗读者,史蒂芬·戴德利 Stephen Daldry,,2008,美国 德国,剧情 爱情,8.6,428171,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
243,香水,汤姆·提克威 Tom Tykwer,,2006,德国 法国 西班牙 美国 比利时,剧情 犯罪 奇幻,8.5,508870,一个单凭体香达到高潮的男人。
244,地球上的星星,阿米尔·汗 Aamir Khan,,2007,印度,剧情 儿童 家庭,8.9,189635,天使保护事件始末。
245,我爱你,秋昌民 Chang-min Choo,,2011,韩国,剧情 爱情,9.0,152296,你要相信，这世上真的有爱存在，不管在什么年纪 
246,千年女优,今敏 Satoshi Kon,,2001,日本,动画 剧情 爱情,8.8,229605,爱情是一场没有尽头的虚幻追逐。
247,完美陌生人,保罗·格诺维瑟 Paolo Genovese,,2016,意大利,剧情 喜剧,8.5,490969,来啊，互相伤害啊！
248,驴得水,周申 Shen Zhou / 刘露 Lu Liu,,2016,中国大陆,剧情 喜剧,8.3,853289,过去的如果就让它过去了，未来只会越来越糟！
249,聚焦,托马斯·麦卡锡 Thomas McCarthy,,2015,美国,剧情 传记,8.8,254786,新闻人的理性求真。
250,浪潮,丹尼斯·甘塞尔 Dennis Gansel,,2008,德国,剧情 惊悚,8.7,255997,世界离独裁只有五天。
